Exchange,Crypto,Quote,Price,Conversion_Rate
Binance,NEO,usdt,11.75,1 NEO = 11.75000000 USDT
Binance,NMR,usdt,24.35,1 NMR = 24.35000000 USDT
Binance,OCEAN,usdt,0.4607,1 OCEAN = 0.46070000 USDT
Binance,OGN,usdt,0.163,1 OGN = 0.16300000 USDT
Binance,OMG,usdt,0.429,1 OMG = 0.42900000 USDT
Binance,ONE,usdt,0.01526,1 ONE = 0.01526000 USDT
Binance,ONG,usdt,0.3143,1 ONG = 0.31430000 USDT
Binance,ONT,usdt,0.2351,1 ONT = 0.23510000 USDT
Binance,OP,usdt,3.479,1 OP = 3.47900000 USDT
Binance,ORBS,usdt,0.03539,1 ORBS = 0.03539000 USDT
Binance,OXT,usdt,0.1044,1 OXT = 0.10440000 USDT
Binance,PAXG,usdt,2000.0,1 PAXG = 2000.00000000 USDT
Binance,POLY,usdt,0.2624,1 POLY = 0.26240000 USDT
Binance,POLYX,usdt,0.1621,1 POLYX = 0.16210000 USDT
Binance,POND,usdt,0.02362,1 POND = 0.02362000 USDT
Binance,PORTO,usdt,2.42,1 PORTO = 2.42000000 USDT
Binance,PROM,usdt,6.966,1 PROM = 6.96600000 USDT
Binance,QNT,usdt,105.0,1 QNT = 105.00000000 USDT
Binance,QTUM,usdt,3.054,1 QTUM = 3.05400000 USDT
Binance,RAD,usdt,1.885,1 RAD = 1.88500000 USDT
Binance,RARE,usdt,0.106,1 RARE = 0.10600000 USDT
Binance,REEF,usdt,0.001557,1 REEF = 0.00155700 USDT
Binance,REN,usdt,0.058891,1 REN = 0.05889100 USDT
Binance,REQ,usdt,0.1029,1 REQ = 0.10290000 USDT
Binance,RLC,usdt,2.269,1 RLC = 2.26900000 USDT
Binance,RNDR,usdt,4.709,1 RNDR = 4.70900000 USDT
Binance,ROSE,usdt,0.12187,1 ROSE = 0.12187000 USDT
Binance,RVN,usdt,0.01991,1 RVN = 0.01991000 USDT
Binance,SAND,usdt,0.4703,1 SAND = 0.47030000 USDT
Binance,SANTOS,usdt,4.407,1 SANTOS = 4.40700000 USDT
Binance,SHIB,usdt,9.4e-06,1 SHIB = 0.00000940 USDT
Binance,SKL,usdt,0.07809,1 SKL = 0.07809000 USDT
Binance,SLP,usdt,0.003065,1 SLP = 0.00306500 USDT
Binance,SNX,usdt,3.482,1 SNX = 3.48200000 USDT
Binance,SOL,usdt,107.54,1 SOL = 107.54000000 USDT
Binance,SOL,usdc,106.9,1 SOL = 106.90000000 USDC
Binance,SOL,eth,0.04297,1 SOL = 0.04297000 ETH
Binance,SPELL,usdt,0.0007725,1 SPELL = 0.00077250 USDT
Binance,SRM,usdt,0.16201,1 SRM = 0.16201000 USDT
Binance,STG,usdt,0.5503,1 STG = 0.55030000 USDT
Binance,STMX,usdt,0.006812,1 STMX = 0.00681200 USDT
Binance,STORJ,usdt,0.6686,1 STORJ = 0.66860000 USDT
Binance,SUI,usdt,1.7745,1 SUI = 1.77450000 USDT
Binance,SUSHI,usdt,1.13,1 SUSHI = 1.13000000 USDT
Binance,SYS,usdt,0.124,1 SYS = 0.12400000 USDT
Binance,T,usdt,0.02619,1 T = 0.02619000 USDT
Binance,TFUEL,usdt,0.04215,1 TFUEL = 0.04215000 USDT
Binance,THETA,usdt,1.028,1 THETA = 1.02800000 USDT
Binance,TLM,usdt,0.01367,1 TLM = 0.01367000 USDT
Binance,TRAC,usdt,0.7322,1 TRAC = 0.73220000 USDT
Binance,TRX,usdt,0.06697,1 TRX = 0.06697000 USDT
Binance,TUSD,usdt,0.9103,1 TUSD = 0.91030000 USDT
Binance,UNI,usdt,6.671,1 UNI = 6.67100000 USDT
Binance,USDC,usd,0.8223,1 USDC = 0.82230000 USD
Binance,USDC,usdt,0.9994,1 USDC = 0.99940000 USDT
Binance,USDC,busd,1.0003,1 USDC = 1.00030000 BUSD
Binance,USDT,usd,0.96,1 USDT = 0.96000000 USD
Binance,UST,usdt,0.0065,1 UST = 0.00650000 USDT
Binance,VET,usdt,0.02979,1 VET = 0.02979000 USDT
Binance,VITE,usdt,0.01956,1 VITE = 0.01956000 USDT
Binance,VOXEL,usdt,0.1893,1 VOXEL = 0.18930000 USDT
Binance,VTHO,usdt,0.002559,1 VTHO = 0.00255900 USDT
Binance,WAVES,usdt,2.229,1 WAVES = 2.22900000 USDT
Binance,WAXP,usdt,0.0565,1 WAXP = 0.05650000 USDT
Binance,XEC,usdt,3.312e-05,1 XEC = 0.00003312 USDT
Binance,XLM,usdt,0.1123,1 XLM = 0.11230000 USDT
Binance,XNO,usdt,1.134,1 XNO = 1.13400000 USDT
Binance,XRP,usdt,0.5254,1 XRP = 0.52540000 USDT
Binance,XTZ,usdt,1.04,1 XTZ = 1.04000000 USDT
Binance,YFI,usdt,7451.0,1 YFI = 7451.00000000 USDT
Binance,ZEC,usdt,21.17,1 ZEC = 21.17000000 USDT
Binance,ZEN,usdt,8.13,1 ZEN = 8.13000000 USDT
Binance,ZIL,usdt,0.02125,1 ZIL = 0.02125000 USDT
Binance,ZRX,usdt,0.3203,1 ZRX = 0.32030000 USDT
